# Exported TensorBoard events
# Source: /Users/saharshgoenka/Documents/env-highway/CS269-Parking/logs/PPO_6/events.out.tfevents.1764220830.Mac.lan1.33455.0
# Exported: 2025-11-28T14:06:11.406006

## Scalars

[rollout/ep_len_mean]
step=2048	wall_time=2025-11-26T21:20:36.926974	value=66.5
step=4096	wall_time=2025-11-26T21:20:43.180195	value=70.37931060791016
step=6144	wall_time=2025-11-26T21:20:49.466280	value=73.34939575195312
step=8192	wall_time=2025-11-26T21:20:55.594418	value=67.06999969482422
step=10240	wall_time=2025-11-26T21:21:01.373586	value=57.2599983215332
step=12288	wall_time=2025-11-26T21:21:07.071950	value=46.209999084472656
step=14336	wall_time=2025-11-26T21:21:12.985665	value=35.349998474121094
step=16384	wall_time=2025-11-26T21:21:19.376217	value=29.899999618530273
step=18432	wall_time=2025-11-26T21:21:25.535603	value=27.239999771118164
step=20480	wall_time=2025-11-26T21:21:31.858832	value=25.649999618530273
step=22528	wall_time=2025-11-26T21:21:38.574830	value=24.709999084472656
step=24576	wall_time=2025-11-26T21:21:45.452389	value=21.520000457763672
step=26624	wall_time=2025-11-26T21:21:53.295128	value=20.899999618530273
step=28672	wall_time=2025-11-26T21:22:00.177946	value=19.469999313354492
step=30720	wall_time=2025-11-26T21:22:06.983933	value=19.260000228881836
step=32768	wall_time=2025-11-26T21:22:13.963578	value=18.329999923706055
step=34816	wall_time=2025-11-26T21:22:22.585506	value=17.950000762939453
step=36864	wall_time=2025-11-26T21:22:29.907231	value=17.43000030517578
step=38912	wall_time=2025-11-26T21:22:36.537820	value=17.25
step=40960	wall_time=2025-11-26T21:22:43.875056	value=17.110000610351562
step=43008	wall_time=2025-11-26T21:22:51.564747	value=16.790000915527344
step=45056	wall_time=2025-11-26T21:22:58.715599	value=16.600000381469727
step=47104	wall_time=2025-11-26T21:23:05.997964	value=16.31999969482422
step=49152	wall_time=2025-11-26T21:23:14.844463	value=16.290000915527344
step=51200	wall_time=2025-11-26T21:23:22.936674	value=16.139999389648438
step=53248	wall_time=2025-11-26T21:23:33.375053	value=16.0
step=55296	wall_time=2025-11-26T21:23:41.334917	value=16.280000686645508
step=57344	wall_time=2025-11-26T21:23:50.509593	value=16.280000686645508
step=59392	wall_time=2025-11-26T21:23:59.604930	value=16.020000457763672
step=61440	wall_time=2025-11-26T21:24:06.626188	value=16.040000915527344
step=63488	wall_time=2025-11-26T21:24:15.515926	value=15.869999885559082
step=65536	wall_time=2025-11-26T21:24:23.042061	value=15.760000228881836
step=67584	wall_time=2025-11-26T21:24:32.493297	value=15.40999984741211
step=69632	wall_time=2025-11-26T21:24:40.372318	value=15.359999656677246
step=71680	wall_time=2025-11-26T21:24:49.227728	value=15.449999809265137
step=73728	wall_time=2025-11-26T21:24:57.639388	value=15.5
step=75776	wall_time=2025-11-26T21:25:04.354404	value=15.420000076293945
step=77824	wall_time=2025-11-26T21:25:11.530470	value=15.430000305175781
step=79872	wall_time=2025-11-26T21:25:18.357586	value=15.449999809265137
step=81920	wall_time=2025-11-26T21:25:25.304160	value=15.4399995803833
